/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Others/j29-1.jpg,2387,327,3594,426,Slag,3592,333,3906,393,Slag,1652,400,1686,421,Porosity,2283,410,2324,439,Porosity,2336,435,2365,461,Porosity
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Others/6054-006186-2.jpg,577,319,689,354,Slag,819,324,1101,370,Slag,1371,322,1879,380,Slag,1917,315,2176,365,Slag
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-002009-2.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-002208-2.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Others/j140-2.jpg,1349,203,1511,227,Slag
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Porosity/s58-1.jpg,624,211,654,234,Porosity
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-001874-3.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-002112-1-3.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-000056-1.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-000224-2.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Porosity/h128-2.jpg,1574,291,1615,332,Porosity
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Porosity/s47-3.jpg,466,193,585,223,Slag
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-000084-1.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Normal/6054-000029-2.jpg,,,,,
/home/irteam/junghye-dcloud-dir/pathfinder/data_contrast/before/Image/Porosity/s131-3.jpg,1125,311,1158,344,Porosity
